"content_resource_id","chapter_number","section_number","zybook_id","parts"
137968,8,9,45,2
138211,9,1,45,4
138216,9,2,45,3
138225,9,3,45,3
138231,9,3,45,3
138237,9,3,45,4
138244,9,4,45,2
138251,9,4,45,2
138259,9,4,45,3
138272,9,5,45,4
138289,9,6,45,3
138294,9,7,45,2
138320,10,2,45,3
138331,10,3,45,2
345851,1,3,47,2
345857,1,3,47,1
345861,1,3,47,2
345884,1,4,47,1
345982,1,11,47,2
345984,1,11,47,1
353965,2,1,47,4
353984,2,2,47,8
353988,2,2,47,3
353990,2,2,47,4
354013,2,4,47,5
354021,2,4,47,4
354025,2,4,47,8
354033,2,4,47,4
354049,2,5,47,3
354053,2,5,47,5
354084,2,8,47,5
354093,2,9,47,4
354095,2,9,47,2
354109,2,10,47,4
354114,2,11,47,1
354125,2,11,47,1
354136,2,12,47,3
354138,2,12,47,1
354142,2,12,47,3
354149,2,12,47,3
354179,2,15,47,2
290231,3,1,47,5
290233,3,1,47,3
290237,3,1,47,2
290241,3,1,47,3
290249,3,2,47,9
290271,3,3,47,3
290273,3,3,47,1
290277,3,3,47,4
290279,3,3,47,5
290287,3,3,47,2
290302,3,4,47,6
290323,3,5,47,3
290332,3,5,47,5
290343,3,6,47,2
290357,3,7,47,1
290370,3,8,47,4
290374,3,8,47,7
290390,3,9,47,3
290408,3,11,47,5
307361,4,2,47,3
307365,4,2,47,5
307371,4,2,47,4
307383,4,3,47,4
307387,4,3,47,4
307397,4,4,47,3
307406,4,4,47,4
307415,4,4,47,2
307426,4,5,47,5
307452,4,6,47,2
307454,4,6,47,2
307479,4,8,47,2
307500,4,10,47,3
64121,5,1,47,6
64140,5,2,47,5
64154,5,4,47,3
64175,5,5,47,2
64188,5,6,47,1
64220,5,9,47,4
64230,5,10,47,2
126366,6,1,47,5
126378,6,2,47,4
126385,6,2,47,2
126427,6,5,47,3
126431,6,5,47,3
126504,6,13,47,3
126514,6,13,47,3
205738,7,2,47,4
205744,7,2,47,8
205746,7,2,47,2
205761,7,4,47,2
205782,7,7,47,2
205797,7,8,47,2
205815,7,10,47,3
205825,7,10,47,2
205831,7,10,47,2
205847,7,11,47,4
205855,7,12,47,3
205873,7,14,47,6
205892,7,16,47,3
225868,8,1,47,2
208049,9,2,47,3
208064,9,3,47,3
208070,9,3,47,3
208076,9,3,47,4
208085,9,4,47,3
208103,9,6,47,2
219727,10,1,47,2
209388,11,2,47,3
209399,11,3,47,2
210106,12,4,47,5
226112,14,1,47,4
226125,14,2,47,3
226136,14,3,47,5
226152,14,4,47,3
226161,14,5,47,2
226168,14,6,47,4
226186,14,8,47,4
136339,1,3,49,2
136345,1,3,49,1
136349,1,3,49,2
136372,1,4,49,2
136470,1,11,49,2
136479,2,1,49,4
136498,2,2,49,8
136502,2,2,49,3
136504,2,2,49,4
136521,2,4,49,5
136529,2,4,49,4
136533,2,4,49,8
136541,2,4,49,4
136553,2,5,49,3
136557,2,5,49,5
136704,2,6,49,8
136710,2,6,49,3
136588,2,9,49,5
136597,2,10,49,4
136599,2,10,49,2
136613,2,11,49,4
136618,2,12,49,1
136629,2,12,49,1
136682,2,15,49,3
136693,2,16,49,2
136747,3,1,49,5
136749,3,1,49,3
136753,3,1,49,2
136757,3,1,49,3
136766,3,2,49,9
136771,3,2,49,2
136793,3,3,49,3
136795,3,3,49,1
136799,3,3,49,4
136801,3,3,49,5
136809,3,3,49,2
136827,3,4,49,6
136850,3,5,49,3
136859,3,5,49,5
136872,3,6,49,2
136937,3,7,49,5
137030,4,2,49,3
137034,4,2,49,5
137040,4,2,49,5
137054,4,3,49,4
137058,4,3,49,4
137069,4,4,49,3
137078,4,4,49,4
137087,4,4,49,2
137100,4,5,49,5
137128,4,6,49,2
137130,4,6,49,2
137157,4,8,49,2
137178,4,10,49,4
137201,5,1,49,6
137218,5,2,49,5
137232,5,4,49,3
137257,5,5,49,2
137271,5,6,49,1
137303,5,9,49,4
137314,5,10,49,2
136642,5,11,49,3
136644,5,11,49,2
136648,5,11,49,2
136655,5,11,49,3
136887,5,13,49,1
136902,5,14,49,5
136908,5,14,49,3
137337,5,17,49,7
137347,5,17,49,7
137356,5,18,49,7
137361,5,19,49,3
137366,6,1,49,5
137380,6,2,49,4
137387,6,2,49,2
137433,6,5,49,3
137437,6,5,49,3
137484,6,9,49,4
137707,7,1,49,7
137715,7,2,49,2
137717,7,2,49,2
137722,7,3,49,3
138211,8,1,49,4
138216,8,2,49,3
138225,8,3,49,3
138231,8,3,49,3
138237,8,3,49,4
138244,8,4,49,2
138251,8,4,49,2
138259,8,4,49,3
138272,8,5,49,4
138289,8,6,49,3
138320,9,2,49,3
138331,9,3,49,2
137864,10,1,49,2
137882,10,2,49,4
137898,10,3,49,3
137905,10,4,49,5
137916,10,5,49,4
137923,10,6,49,3
137931,10,6,49,2
137940,10,7,49,2
137957,10,8,49,8
137968,10,9,49,2
137537,11,1,49,3
137547,11,1,49,3
137584,11,3,49,3
138294,11,4,49,2
17205,1,2,65,2
21071,2,3,65,2
20944,3,1,65,4
20958,3,2,65,3
20969,3,3,65,4
20974,3,4,65,2
20980,3,4,65,3
20988,3,4,65,2
20998,3,4,65,4
25603,5,1,65,4
25620,5,2,65,3
25627,5,2,65,5
24094,6,1,65,3
24100,6,1,65,3
24106,6,1,65,2
42868,6,2,65,3
24181,6,4,65,2
24195,6,4,65,2
24222,6,5,65,3
23679,7,1,65,3
23683,7,1,65,2
23706,7,2,65,2
24260,8,1,65,5
24264,8,1,65,3
24284,8,1,65,1
24328,8,3,65,5
24335,8,3,65,4
24353,8,4,65,3
24362,8,4,65,3
24383,8,4,65,4
24396,8,5,65,3
24411,8,6,65,5
20506,9,2,65,3
20514,9,2,65,4
20521,9,3,65,3
20535,9,3,65,3
20603,9,6,65,2
22701,10,1,65,2
22710,10,1,65,1
22721,10,2,65,3
22729,10,2,65,2
22735,10,2,65,1
22739,10,2,65,2
22775,10,4,65,2
22793,10,4,65,3
22543,11,1,65,1
22581,11,3,65,3
22635,11,6,65,3
22641,11,6,65,5
22650,11,7,65,2
22658,11,7,65,2
22678,11,8,65,1
24592,12,1,65,6
24705,12,3,65,5
24722,12,4,65,3
24737,12,4,65,2
24743,12,4,65,2
24747,12,4,65,3
24774,12,5,65,4
24789,12,5,65,3
22985,13,1,65,3
22996,13,1,65,5
23008,13,2,65,3
23020,13,2,65,2
23035,13,3,65,6
23043,13,3,65,3
23093,13,5,65,4
23108,13,6,65,2
17205,1,2,70,2
21071,2,3,70,2
20944,3,1,70,4
20958,3,2,70,3
20969,3,3,70,4
20974,3,4,70,2
20980,3,4,70,3
20988,3,4,70,2
20998,3,4,70,4
25603,5,1,70,4
25620,5,2,70,3
25627,5,2,70,5
24094,6,1,70,3
24100,6,1,70,3
24106,6,1,70,2
42868,6,2,70,3
24181,6,4,70,2
24195,6,4,70,2
24222,6,5,70,3
23679,7,1,70,3
23683,7,1,70,2
23706,7,2,70,2
24260,8,1,70,5
24264,8,1,70,3
24284,8,1,70,1
24328,8,3,70,5
24335,8,3,70,4
24353,8,4,70,3
24362,8,4,70,3
24383,8,4,70,4
24396,8,5,70,3
24411,8,6,70,5
20506,9,2,70,3
20514,9,2,70,4
20521,9,3,70,3
20535,9,3,70,3
20603,9,6,70,2
22701,10,1,70,2
22710,10,1,70,1
22721,10,2,70,3
22729,10,2,70,2
22735,10,2,70,1
22739,10,2,70,2
22775,10,4,70,2
22793,10,4,70,3
22543,11,1,70,1
22581,11,3,70,3
22635,11,6,70,3
22641,11,6,70,5
22650,11,7,70,2
22658,11,7,70,2
22678,11,8,70,1
24592,12,1,70,6
24705,12,3,70,5
24722,12,4,70,3
24737,12,4,70,2
24743,12,4,70,2
24747,12,4,70,3
24774,12,5,70,4
24789,12,5,70,3
22985,13,1,70,3
22996,13,1,70,5
23008,13,2,70,3
23020,13,2,70,2
23035,13,3,70,6
23043,13,3,70,3
23093,13,5,70,4
23108,13,6,70,2
17205,1,2,71,2
21071,2,3,71,2
20944,3,1,71,4
20958,3,2,71,3
20969,3,3,71,4
20974,3,4,71,2
20980,3,4,71,3
20988,3,4,71,2
20998,3,4,71,4
25603,5,1,71,4
25620,5,2,71,3
25627,5,2,71,5
24094,6,1,71,3
24100,6,1,71,3
24106,6,1,71,2
42868,6,2,71,3
24181,6,4,71,2
24195,6,4,71,2
24222,6,5,71,3
23679,7,1,71,3
23683,7,1,71,2
23706,7,2,71,2
24260,8,1,71,5
24264,8,1,71,3
24284,8,1,71,1
24328,8,3,71,5
24335,8,3,71,4
24353,8,4,71,3
24362,8,4,71,3
24383,8,4,71,4
24396,8,5,71,3
24411,8,6,71,5
20506,9,2,71,3
20514,9,2,71,4
20521,9,3,71,3
20535,9,3,71,3
20603,9,6,71,2
22701,10,1,71,2
22710,10,1,71,1
22721,10,2,71,3
22729,10,2,71,2
22735,10,2,71,1
22739,10,2,71,2
22775,10,4,71,2
22793,10,4,71,3
22543,11,1,71,1
22581,11,3,71,3
22635,11,6,71,3
22641,11,6,71,5
22650,11,7,71,2
22658,11,7,71,2
22678,11,8,71,1
24592,12,1,71,6
24705,12,3,71,5
24722,12,4,71,3
24737,12,4,71,2
24743,12,4,71,2
24747,12,4,71,3
24774,12,5,71,4
24789,12,5,71,3
22985,13,1,71,3
22996,13,1,71,5
23008,13,2,71,3
23020,13,2,71,2
23035,13,3,71,6
23043,13,3,71,3
23093,13,5,71,4
23108,13,6,71,2
20974,1,1,72,2
20980,1,1,72,3
20988,1,1,72,2
20998,1,1,72,4
23679,1,4,72,3
23683,1,4,72,2
23706,1,5,72,2
25603,2,1,72,4
25620,2,2,72,3
25627,2,2,72,5
24181,2,7,72,2
24195,2,7,72,2
24592,3,1,72,6
24705,3,3,72,5
24722,3,4,72,3
24737,3,4,72,2
24743,3,4,72,2
24747,3,4,72,3
22985,3,5,72,3
22996,3,5,72,5
23008,3,6,72,3
23020,3,6,72,2
23035,3,7,72,6
23043,3,7,72,3
23093,3,9,72,4
23108,3,10,72,2
17205,4,2,72,2
21071,5,3,72,2
20944,6,1,72,4
20958,6,2,72,3
20969,6,3,72,4
24094,9,1,72,3
24100,9,1,72,3
24106,9,1,72,2
42868,9,2,72,3
24222,9,4,72,3
24260,11,1,72,5
24264,11,1,72,3
24284,11,1,72,1
24328,11,3,72,5
24335,11,3,72,4
24353,11,4,72,3
24362,11,4,72,3
24383,11,4,72,4
24396,11,5,72,3
24411,11,6,72,5
20506,12,2,72,3
20514,12,2,72,4
20521,12,3,72,3
20535,12,3,72,3
20603,12,6,72,2
22701,13,1,72,2
22710,13,1,72,1
22721,13,2,72,3
22729,13,2,72,2
22735,13,2,72,1
22739,13,2,72,2
22775,13,4,72,2
22793,13,4,72,3
22543,14,1,72,1
22581,14,3,72,3
22635,14,6,72,3
22641,14,6,72,5
22650,14,7,72,2
22658,14,7,72,2
22678,14,8,72,1
24774,15,1,72,4
24789,15,1,72,3
631707,1,3,76,2
631713,1,3,76,1
631717,1,3,76,2
631743,1,4,76,1
631845,1,11,76,2
631991,2,1,76,4
632011,2,2,76,8
632015,2,2,76,3
632017,2,2,76,4
632043,2,4,76,5
632051,2,4,76,4
632055,2,4,76,8
632063,2,4,76,4
632082,2,5,76,3
632086,2,5,76,5
632118,2,8,76,5
632129,2,9,76,4
632131,2,9,76,2
632144,2,10,76,4
632149,2,11,76,1
632160,2,11,76,1
632174,2,12,76,3
632176,2,12,76,1
632180,2,12,76,3
632187,2,12,76,3
632214,2,15,76,3
632225,2,16,76,2
632405,3,1,76,5
632407,3,1,76,3
632411,3,1,76,2
632415,3,1,76,3
632424,3,2,76,9
632429,3,2,76,2
632450,3,3,76,3
632452,3,3,76,1
632456,3,3,76,4
632458,3,3,76,5
632466,3,3,76,2
632481,3,4,76,6
632502,3,5,76,3
632511,3,5,76,5
632522,3,6,76,2
632535,3,7,76,1
632548,3,8,76,5
632552,3,8,76,7
632569,3,9,76,4
632589,3,11,76,5
632610,4,2,76,3
632614,4,2,76,5
632620,4,2,76,5
632632,4,3,76,4
632636,4,3,76,4
632647,4,4,76,3
632656,4,4,76,4
632665,4,4,76,2
632676,4,5,76,5
632702,4,6,76,2
632704,4,6,76,2
632729,4,8,76,2
632755,4,10,76,4
632778,5,1,76,6
632818,5,2,76,4
632834,5,4,76,2
632840,5,4,76,3
632929,5,7,76,6
632947,5,8,76,3
632970,5,9,76,1
633020,5,12,76,4
633031,5,13,76,2
633054,5,15,76,7
633064,5,15,76,7
633071,5,16,76,7
633076,6,1,76,5
633088,6,2,76,4
633095,6,2,76,2
633138,6,5,76,3
633142,6,5,76,3
633189,6,9,76,2
633207,6,10,76,3
633260,6,15,76,3
633270,6,15,76,3
633640,7,2,76,4
633646,7,2,76,11
633691,7,7,76,1
633715,7,9,76,2
633724,7,10,76,3
633748,7,12,76,6
633932,8,1,76,4
633936,8,1,76,3
633950,8,2,76,4
633967,8,3,76,4
633980,8,4,76,4
634020,8,9,76,3
634042,8,11,76,2
634087,9,4,76,4
634113,9,6,76,2
634116,9,7,76,3
634127,10,1,76,2
634179,11,2,76,3
634192,11,3,76,2
632795,14,1,76,5
632865,14,2,76,3
632905,14,3,76,2
633592,14,6,76,7
633604,14,7,76,2
633606,14,7,76,2
633611,14,8,76,3
633307,14,11,76,3
652483,1,5,82,1
652489,1,5,82,1
652493,1,5,82,1
652508,1,6,82,1
652514,1,6,82,2
654037,2,1,82,2
654050,2,2,82,8
654054,2,2,82,3
654070,2,3,82,2
654084,2,5,82,5
654089,2,5,82,1
654100,2,6,82,4
654108,2,6,82,4
654113,2,6,82,8
654115,2,6,82,4
654141,2,8,82,1
654153,2,8,82,2
657660,3,1,82,2
657667,3,1,82,3
657687,3,2,82,2
657693,3,2,82,2
657697,3,2,82,4
657706,3,2,82,3
657710,3,2,82,1
657763,3,6,82,2
657765,3,6,82,3
657779,3,7,82,5
664894,4,1,82,3
664905,4,1,82,2
664914,4,2,82,9
664919,4,2,82,7
664921,4,2,82,2
664925,4,2,82,2
664938,4,3,82,3
664950,4,3,82,2
664965,4,4,82,6
664990,4,5,82,4
665000,4,6,82,1
665015,4,7,82,3
673090,5,2,82,3
673094,5,2,82,4
673103,5,2,82,4
673113,5,3,82,4
673120,5,3,82,2
673132,5,4,82,2
673134,5,4,82,3
673143,5,4,82,4
673152,5,4,82,2
673167,5,5,82,3
673173,5,5,82,3
673187,5,6,82,4
673203,5,8,82,4
673224,5,10,82,2
673251,5,12,82,1
677290,6,2,82,4
677297,6,3,82,3
677307,6,3,82,5
677327,6,5,82,4
677338,6,5,82,2
677355,6,6,82,3
677376,6,7,82,1
677396,6,8,82,5
677398,6,8,82,3
677404,6,8,82,2
677419,6,9,82,2
675989,7,1,82,4
676001,7,2,82,4
676008,7,2,82,2
676017,7,3,82,2
676045,7,6,82,4
676050,7,6,82,1
676128,7,13,82,2
676136,7,13,82,4
676143,7,13,82,3
676154,7,14,82,2
678499,8,2,82,3
678508,8,3,82,3
678515,8,3,82,2
678543,8,6,82,2
678573,8,8,82,4
678586,8,9,82,2
649430,9,2,82,3
657720,10,1,82,1
657788,10,2,82,2
677452,10,4,82,2
677464,10,5,82,3
677428,10,7,82,2
648677,10,9,82,2
648688,10,9,82,3
648692,10,9,82,2
648708,10,10,82,4
648754,10,12,82,2
648760,10,12,82,1
648767,10,13,82,3
649103,10,14,82,3
649113,10,14,82,3
649130,10,16,82,3
649159,10,19,82,4
649166,10,20,82,3
649186,10,21,82,3
649199,10,22,82,3
649215,10,23,82,4
649227,10,23,82,2
649232,10,24,82,2
649250,10,26,82,2
678896,10,27,82,2
678912,10,29,82,4
678939,10,32,82,3
649322,10,33,82,3
649311,10,34,82,3
649349,10,37,82,2
649362,10,38,82,2
631707,1,3,90,2
631713,1,3,90,1
631717,1,3,90,2
631743,1,4,90,1
631845,1,11,90,2
631991,2,1,90,4
632011,2,2,90,8
632015,2,2,90,3
632017,2,2,90,4
632043,2,4,90,5
632051,2,4,90,4
632055,2,4,90,8
632063,2,4,90,4
632082,2,5,90,3
632086,2,5,90,5
632118,2,8,90,5
632129,2,9,90,4
632131,2,9,90,2
632144,2,10,90,4
632149,2,11,90,1
632160,2,11,90,1
632174,2,12,90,3
632176,2,12,90,1
632180,2,12,90,3
632187,2,12,90,3
632214,2,15,90,3
632225,2,16,90,2
632405,3,1,90,5
632407,3,1,90,3
632411,3,1,90,2
632415,3,1,90,3
632424,3,2,90,9
632429,3,2,90,2
632450,3,3,90,3
632452,3,3,90,1
632456,3,3,90,4
632458,3,3,90,5
632466,3,3,90,2
632481,3,4,90,6
632502,3,5,90,3
632511,3,5,90,5
632522,3,6,90,2
632535,3,7,90,1
632548,3,8,90,5
632552,3,8,90,7
632569,3,9,90,4
632589,3,11,90,5
632610,4,2,90,3
632614,4,2,90,5
632620,4,2,90,5
632632,4,3,90,4
632636,4,3,90,4
632647,4,4,90,3
632656,4,4,90,4
632665,4,4,90,2
632676,4,5,90,5
632702,4,6,90,2
632704,4,6,90,2
632729,4,8,90,2
632755,4,10,90,4
632778,5,1,90,6
632795,5,2,90,5
632818,5,3,90,4
632834,5,5,90,2
632840,5,5,90,3
632865,5,6,90,3
632905,5,8,90,2
632929,5,10,90,6
632947,5,11,90,3
632970,5,12,90,1
633020,5,17,90,4
633031,5,18,90,2
633054,5,20,90,7
633064,5,20,90,7
633071,5,21,90,7
633076,6,1,90,5
633088,6,2,90,4
633095,6,2,90,2
633138,6,5,90,3
633142,6,5,90,3
633189,6,9,90,2
633207,6,10,90,3
633260,6,15,90,3
633270,6,15,90,3
633307,6,20,90,3
633592,7,1,90,7
633604,7,2,90,2
633606,7,2,90,2
633611,7,3,90,3
633640,7,6,90,4
633646,7,6,90,11
633691,7,11,90,1
633715,7,13,90,2
633724,7,14,90,3
633748,7,16,90,6
633932,8,1,90,4
633936,8,1,90,3
633950,8,2,90,4
633967,8,3,90,4
633980,8,4,90,4
634020,8,9,90,3
634042,8,11,90,2
634087,9,4,90,4
634113,9,6,90,2
634116,9,7,90,3
634127,10,1,90,2
634179,11,2,90,3
634192,11,3,90,2
62606,14,2,90,3
62617,14,3,90,3
62626,14,4,90,4
62831,15,4,90,3
62838,15,5,90,4
62845,15,6,90,2
62865,16,4,90,2
17205,1,2,100,2
21071,2,3,100,2
20944,3,1,100,4
20958,3,2,100,3
